,Count
zreleased - 2017.7.0rc1,1
zreleased - carbon,1
zreleased - boron,1
doc-rework,1
zzz[done]-back-ported-bf,1
tech-debt,1
doc-correction,1
needs-testcase,1
magnesium,1
phosphorus v3005.0,1
rhel,1
salt-extensions,1
effort-small,1
gitfs,1
state-compiler,1
requisite,1
time-estimate-sprint,1
returners,1
delta-proxy,1
file servers,1
package-repo,1
aix,1
silicon v3004.0,1
juniper,1
effort-xmall,1
effort-large,1
info-needed,1
zd,1
debian,1
aluminium,1
effort-medium,1
doc-request,1
time-estimate-long-term,1
salt install guide,1
has-failing-test,1
merge-conflict,1
tests-passed,1
master-port,1
horizontal sharding,1
code review in progress,1
wms data provider,1
mpi,1
